onset	duration	trial_type
0.0	8.0	Happy
8.0	8.0	Neutral
16.0	8.0	Sad
24.0	8.0	Movement
32.0	8.0	Alternate
40.0	8.0	Sad
48.0	8.0	Happy
56.0	8.0	Alternate
64.0	8.0	Neutral
72.0	8.0	Movement
80.0	8.0	Happy
88.0	8.0	Sad
96.0	8.0	Alternate
104.0	8.0	Neutral
112.0	8.0	Movement
120.0	8.0	Movement
128.0	8.0	Alternate
136.0	8.0	Neutral
144.0	8.0	Happy
152.0	8.0	Sad
160.0	8.0	Movement
168.0	8.0	Neutral
176.0	8.0	Happy
184.0	8.0	Sad
192.0	8.0	Alternate
200.0	8.0	Sad
208.0	8.0	Neutral
216.0	8.0	Movement
224.0	8.0	Happy
232.0	8.0	Alternate
240.0	8.0	Sad
248.0	8.0	Alternate
256.0	8.0	Neutral
264.0	8.0	Happy
272.0	8.0	Movement
280.0	8.0	Sad
288.0	8.0	Alternate
296.0	8.0	Happy
304.0	8.0	Neutral
312.0	8.0	Movement
